Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
boxy7-t-shirt-with-roll-sleeve,Boxy7 T-Shirt with Roll Sleeve,"<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>",MyVendor,Shirts,"boxy, Shirts, sleeveless",true,Size,S,Color,Gray,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-15_7ca55ba5-301e-4461-92ea-68c8b02e35e7.jpg?v=1515096104,1,,false,,,,,,,,,,,,,,,,,kg,
boxy7-t-shirt-with-roll-sleeve,,,,,,,,M,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-13_28c7278d-d392-4b0e-b5ba-cecbd622ff37.jpg?v=1515096104,2,,,,,,,,,,,,,,,,,,,kg,
boxy7-t-shirt-with-roll-sleeve,,,,,,,,L,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-04_3d8b0023-92c7-4c68-937d-7dad38ae8d6c.jpg?v=1515096104,3,,,,,,,,,,,,,,,,,,,kg,
boxy7-t-shirt-with-roll-sleeve,,,,,,,,XL,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-11_5c272dd0-7779-4700-bcad-15eb4d028ec3.jpg?v=1515096104,4,,,,,,,,,,,,,,,,,,,kg,
boxy7-t-shirt-with-roll-sleeve,,,,,,,,S,,Red,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-16_da06f977-2a92-4694-b8d1-4111c748f330.jpg?v=1515096104,5,,,,,,,,,,,,,,,,,,,kg,
boxy7-t-shirt-with-roll-sleeve,,,,,,,,S,,Black,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-12_e14e82b7-de49-4074-9dec-06d3a7196613.jpg?v=1515096104,6,,,,,,,,,,,,,,,,,,,kg,
boxy7-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-10_c3c82181-073c-453c-8306-30f455ba89fc.jpg?v=1515096104,7,,,,,,,,,,,,,,,,,,,,
boxy7-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-03_61c8e4df-3673-4eee-865c-636ca7cb47ad.jpg?v=1515096104,8,,,,,,,,,,,,,,,,,,,,
boxy6-t-shirt-with-roll-sleeve,Boxy6 T-Shirt with Roll Sleeve,"<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>",MyVendor,Shirts,"boxy, Shirts, sleeveless",true,Size,S,Color,Gray,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-13_d77ff6ee-7735-4f22-a436-1ac6b9ccabd6.jpg?v=1515096032,1,,false,,,,,,,,,,,,,,,,,kg,
boxy6-t-shirt-with-roll-sleeve,,,,,,,,M,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-04_86e8206b-6aa1-449f-bb31-e2d239d58176.jpg?v=1515096032,2,,,,,,,,,,,,,,,,,,,kg,
